Station,Date,Tmax,Tmin,Tavg,DewPoint,WetBulb,PrecipTotal,relative_humidity,Trange,Year,Month,Week,Day,precip_7D_avg
1,2007-05-14,90,56,73.0,47,59,0.0,39,34,2007,5,20,14,0.018571428571428572
2,2007-05-14,90,54,72.0,45,58,0.0,34,36,2007,5,20,14,0.002857142857142857
1,2007-05-15,80,57,68.5,56,61,0.38,68,23,2007,5,20,15,0.07285714285714286
2,2007-05-15,82,56,69.0,56,61,0.6,67,26,2007,5,20,15,0.08857142857142856
1,2007-05-16,66,44,55.0,43,48,0.14,49,22,2007,5,20,16,0.07428571428571429
2,2007-05-16,64,45,54.5,42,47,0.07,46,19,2007,5,20,16,0.09571428571428571
1,2007-05-17,62,43,52.5,32,43,0.0,0,19,2007,5,20,17,0.07428571428571429
2,2007-05-17,61,44,52.5,32,43,0.0,0,17,2007,5,20,17,0.09571428571428571
1,2007-05-18,71,42,56.5,30,46,0.0,-9,29,2007,5,20,18,0.07428571428571429
2,2007-05-18,70,43,56.5,31,47,0.0,-4,27,2007,5,20,18,0.09571428571428571
1,2007-05-19,80,56,68.0,39,53,0.0,21,24,2007,5,20,19,0.07428571428571429
2,2007-05-19,80,56,68.0,37,53,0.0,15,24,2007,5,20,19,0.09571428571428571
1,2007-05-20,69,43,56.0,40,44,0.07,35,26,2007,5,20,20,0.0842857142857143
2,2007-05-20,69,44,56.5,41,45,0.11,38,25,2007,5,20,20,0.11142857142857142
1,2007-05-21,80,44,62.0,50,56,0.0,62,36,2007,5,21,21,0.0842857142857143
2,2007-05-21,79,46,62.5,50,57,0.0,61,33,2007,5,21,21,0.11142857142857142
1,2007-05-22,87,55,71.0,46,58,0.0,38,32,2007,5,21,22,0.03000000000000001
2,2007-05-22,87,60,73.5,44,58,0.0,31,27,2007,5,21,22,0.025714285714285707
1,2007-05-23,89,60,74.5,49,61,0.0,42,29,2007,5,21,23,0.010000000000000009
2,2007-05-23,89,66,77.5,48,61,0.0,38,23,2007,5,21,23,0.015714285714285705
1,2007-05-24,88,63,75.5,54,63,0.02,53,25,2007,5,21,24,0.012857142857142867
2,2007-05-24,88,66,77.0,53,63,0.0,49,22,2007,5,21,24,0.015714285714285705
1,2007-05-25,70,56,63.0,44,53,0.0,40,14,2007,5,21,25,0.012857142857142867
2,2007-05-25,66,57,61.5,46,53,0.09,49,9,2007,5,21,25,0.02857142857142856
1,2007-05-26,65,49,57.0,55,56,1.01,92,16,2007,5,21,26,0.15714285714285717
2,2007-05-26,70,50,60.0,55,57,0.28,83,20,2007,5,21,26,0.06857142857142857
1,2007-05-27,75,57,66.0,47,56,0.04,46,18,2007,5,21,27,0.15285714285714286
2,2007-05-27,75,59,67.0,49,57,0.08,51,16,2007,5,21,27,0.06428571428571428
1,2007-05-28,79,50,64.5,47,56,0.0,48,29,2007,5,22,28,0.15285714285714286
2,2007-05-28,76,54,65.0,49,57,0.0,53,22,2007,5,22,28,0.06428571428571428
1,2007-05-29,88,60,74.0,58,65,0.0,64,28,2007,5,22,29,0.15285714285714286
2,2007-05-29,88,65,76.5,59,66,0.0,63,23,2007,5,22,29,0.06428571428571428
1,2007-05-30,87,66,76.5,58,65,0.0,61,21,2007,5,22,30,0.15285714285714286
2,2007-05-30,89,70,79.5,57,66,0.0,55,19,2007,5,22,30,0.06428571428571428
1,2007-05-31,78,65,71.5,61,65,0.01,75,13,2007,5,22,31,0.15142857142857144
2,2007-05-31,80,68,74.0,61,66,0.53,71,12,2007,5,22,31,0.13999999999999999
1,2007-06-01,85,62,73.5,63,66,0.19,76,23,2007,6,22,1,0.17857142857142858
2,2007-06-01,86,67,76.5,63,67,0.21,72,19,2007,6,22,1,0.1571428571428571
1,2007-06-02,81,65,73.0,63,67,0.04,77,16,2007,6,22,2,0.04
2,2007-06-02,81,68,74.5,62,67,0.0,73,13,2007,6,22,2,0.11714285714285712
1,2007-06-03,78,62,70.0,60,63,0.01,75,16,2007,6,22,3,0.03571428571428572
2,2007-06-03,77,64,70.5,60,64,0.32,74,13,2007,6,22,3,0.1514285714285714
1,2007-06-04,71,58,64.5,58,60,0.39,81,13,2007,6,23,4,0.09142857142857144
2,2007-06-04,72,56,64.0,57,60,0.31,79,16,2007,6,23,4,0.1957142857142857
1,2007-06-05,64,47,55.5,48,51,0.42,69,17,2007,6,23,5,0.15142857142857144
2,2007-06-05,63,51,57.0,47,52,0.27,61,12,2007,6,23,5,0.23428571428571426
1,2007-06-06,71,44,57.5,48,55,0.01,64,27,2007,6,23,6,0.15285714285714286
2,2007-06-06,73,48,60.5,47,55,0.0,54,25,2007,6,23,6,0.23428571428571426
1,2007-06-07,91,71,81.0,62,69,0.0,64,20,2007,6,23,7,0.15142857142857144
2,2007-06-07,92,71,81.5,61,68,0.0,61,21,2007,6,23,7,0.15857142857142856
1,2007-06-08,81,57,69.0,53,61,0.0,59,24,2007,6,23,8,0.1242857142857143
2,2007-06-08,81,63,72.0,54,62,0.0,57,18,2007,6,23,8,0.12857142857142856
1,2007-06-09,79,52,65.5,47,57,0.0,47,27,2007,6,23,9,0.11857142857142858
2,2007-06-09,79,57,68.0,49,58,0.0,49,22,2007,6,23,9,0.12857142857142856
1,2007-06-10,81,55,68.0,51,59,0.0,55,26,2007,6,23,10,0.11714285714285715
2,2007-06-10,81,61,71.0,50,60,0.0,48,20,2007,6,23,10,0.08285714285714284
1,2007-06-11,86,58,72.0,52,61,0.0,52,28,2007,6,24,11,0.06142857142857144
2,2007-06-11,85,65,75.0,51,61,0.0,47,20,2007,6,24,11,0.03857142857142855
1,2007-06-12,83,62,72.5,50,60,0.0,47,21,2007,6,24,12,0.0014285714285714377
2,2007-06-12,82,66,74.0,51,61,0.0,48,16,2007,6,24,12,0.0
1,2007-06-13,87,60,73.5,53,62,0.0,53,27,2007,6,24,13,9.169252658734552e-18
2,2007-06-13,86,68,77.0,53,62,0.0,49,18,2007,6,24,13,0.0
1,2007-06-14,89,64,76.5,55,64,0.0,54,25,2007,6,24,14,9.169252658734552e-18
2,2007-06-14,89,68,78.5,54,63,0.0,50,21,2007,6,24,14,0.0
1,2007-06-15,91,63,77.0,56,64,0.0,56,28,2007,6,24,15,9.169252658734552e-18
2,2007-06-15,89,67,78.0,56,65,0.0,55,22,2007,6,24,15,0.0
1,2007-06-16,93,66,79.5,60,67,0.0,61,27,2007,6,24,16,9.169252658734552e-18
2,2007-06-16,92,68,80.0,61,68,0.0,63,24,2007,6,24,16,0.0
1,2007-06-17,91,70,80.5,64,70,0.0,68,21,2007,6,24,17,9.169252658734552e-18
2,2007-06-17,91,71,81.0,65,70,0.16,70,20,2007,6,24,17,0.022857142857142833
1,2007-06-18,89,69,79.0,65,70,0.28,72,20,2007,6,25,18,0.040000000000000015
2,2007-06-18,89,73,81.0,65,70,0.02,70,16,2007,6,25,18,0.02571428571428569
1,2007-06-19,80,65,72.5,55,63,0.58,59,15,2007,6,25,19,0.12285714285714287
2,2007-06-19,81,65,73.0,55,63,0.93,58,16,2007,6,25,19,0.15857142857142856
1,2007-06-20,84,61,72.5,52,61,0.0,52,23,2007,6,25,20,0.12285714285714287
2,2007-06-20,85,62,73.5,50,61,0.0,46,23,2007,6,25,20,0.15857142857142856
1,2007-06-21,77,61,69.0,51,60,0.01,53,16,2007,6,25,21,0.1242857142857143
2,2007-06-21,80,66,73.0,51,61,0.0,49,14,2007,6,25,21,0.15857142857142856
1,2007-06-22,76,61,68.5,50,58,0.0,51,15,2007,6,25,22,0.1242857142857143
2,2007-06-22,75,62,68.5,49,58,0.0,49,13,2007,6,25,22,0.15857142857142856
1,2007-06-23,67,62,64.5,58,61,0.05,81,5,2007,6,25,23,0.13142857142857145
2,2007-06-23,68,61,64.5,60,62,0.34,87,7,2007,6,25,23,0.20714285714285713
1,2007-06-24,77,63,70.0,62,65,0.0,80,14,2007,6,25,24,0.13142857142857145
2,2007-06-24,75,65,70.0,62,65,0.0,80,10,2007,6,25,24,0.1842857142857143
1,2007-06-25,89,65,77.0,66,70,0.0,77,24,2007,6,26,25,0.09142857142857144
2,2007-06-25,86,67,76.5,67,70,0.0,80,19,2007,6,26,25,0.18142857142857144
1,2007-06-26,92,70,81.0,69,72,0.16,77,22,2007,6,26,26,0.03142857142857146
2,2007-06-26,91,73,82.0,69,72,0.0,76,18,2007,6,26,26,0.048571428571428564
1,2007-06-27,91,71,81.0,70,72,0.15,79,20,2007,6,26,27,0.05285714285714289
2,2007-06-27,89,71,80.0,69,72,0.35,79,18,2007,6,26,27,0.09857142857142856
1,2007-06-28,74,58,66.0,55,60,0.0,69,16,2007,6,26,28,0.051428571428571455
2,2007-06-28,73,61,67.0,56,61,0.0,70,12,2007,6,26,28,0.09857142857142856
1,2007-06-29,70,56,63.0,55,59,0.0,76,14,2007,6,26,29,0.051428571428571455
2,2007-06-29,71,56,63.5,56,60,0.0,77,15,2007,6,26,29,0.09857142857142856
1,2007-06-30,79,54,66.5,46,56,0.0,42,25,2007,6,26,30,0.04428571428571432
2,2007-06-30,77,58,67.5,49,58,0.0,50,19,2007,6,26,30,0.04999999999999999
1,2007-07-01,75,54,64.5,52,58,0.0,63,21,2007,7,26,1,0.04428571428571432
2,2007-07-01,76,61,68.5,51,59,0.0,54,15,2007,7,26,1,0.04999999999999999
1,2007-07-02,79,53,66.0,50,58,0.0,55,26,2007,7,27,2,0.04428571428571432
2,2007-07-02,77,58,67.5,50,59,0.0,53,19,2007,7,27,2,0.04999999999999999
1,2007-07-03,83,60,71.5,57,63,0.4,65,23,2007,7,27,3,0.0785714285714286
2,2007-07-03,83,63,73.0,56,63,0.09,61,20,2007,7,27,3,0.06285714285714285
1,2007-07-04,86,67,76.5,65,69,0.16,76,19,2007,7,27,4,0.08000000000000003
2,2007-07-04,84,67,75.5,65,69,0.66,78,17,2007,7,27,4,0.10714285714285716
1,2007-07-05,89,71,80.0,60,67,0.0,61,18,2007,7,27,5,0.08000000000000003
2,2007-07-05,88,70,79.0,60,67,0.0,62,18,2007,7,27,5,0.10714285714285716
1,2007-07-06,86,66,76.0,57,64,0.0,59,20,2007,7,27,6,0.08000000000000003
2,2007-07-06,84,68,76.0,57,65,0.0,59,16,2007,7,27,6,0.10714285714285716
1,2007-07-07,90,64,77.0,63,69,0.0,71,26,2007,7,27,7,0.08000000000000003
2,2007-07-07,88,68,78.0,62,68,0.0,67,20,2007,7,27,7,0.10714285714285716
1,2007-07-08,94,75,84.5,67,72,0.0,69,19,2007,7,27,8,0.08000000000000003
2,2007-07-08,93,75,84.0,67,72,0.0,70,18,2007,7,27,8,0.10714285714285716
1,2007-07-09,94,70,82.0,66,70,0.3,70,24,2007,7,28,9,0.12285714285714287
2,2007-07-09,93,72,82.5,67,71,0.24,72,21,2007,7,28,9,0.14142857142857143
1,2007-07-10,89,69,79.0,67,70,0.43,76,20,2007,7,28,10,0.12714285714285714
2,2007-07-10,89,70,79.5,67,71,0.08,76,19,2007,7,28,10,0.14
1,2007-07-11,77,62,69.5,51,59,0.0,53,15,2007,7,28,11,0.10428571428571429
2,2007-07-11,77,63,70.0,51,59,0.0,52,14,2007,7,28,11,0.04571428571428572
1,2007-07-12,80,61,70.5,51,59,0.0,52,19,2007,7,28,12,0.10428571428571429
2,2007-07-12,80,60,70.0,51,60,0.0,52,20,2007,7,28,12,0.04571428571428572
1,2007-07-13,78,58,68.0,52,58,0.0,58,20,2007,7,28,13,0.10428571428571429
2,2007-07-13,74,59,66.5,53,59,0.0,63,15,2007,7,28,13,0.04571428571428572
1,2007-07-14,84,61,72.5,55,62,0.0,59,23,2007,7,28,14,0.10428571428571429
2,2007-07-14,85,62,73.5,55,62,0.0,58,23,2007,7,28,14,0.04571428571428572
1,2007-07-15,82,60,71.0,53,61,0.0,56,22,2007,7,28,15,0.10428571428571429
2,2007-07-15,80,64,72.0,52,61,0.0,52,16,2007,7,28,15,0.04571428571428572
1,2007-07-16,82,65,73.5,60,65,0.39,69,17,2007,7,29,16,0.11714285714285715
2,2007-07-16,82,66,74.0,60,65,0.07,69,16,2007,7,29,16,0.02142857142857144
1,2007-07-17,83,68,75.5,66,69,0.11,80,15,2007,7,29,17,0.07142857142857142
2,2007-07-17,83,69,76.0,65,69,0.11,77,14,2007,7,29,17,0.02571428571428572
1,2007-07-18,85,69,77.0,68,71,1.55,82,16,2007,7,29,18,0.2928571428571428
2,2007-07-18,85,69,77.0,69,71,0.92,84,16,2007,7,29,18,0.15714285714285717
1,2007-07-19,83,63,73.0,63,66,0.16,77,20,2007,7,29,19,0.3157142857142857
2,2007-07-19,82,63,72.5,62,66,0.01,76,19,2007,7,29,19,0.15857142857142859
1,2007-07-20,75,58,66.5,53,59,0.0,63,17,2007,7,29,20,0.3157142857142857
2,2007-07-20,74,62,68.0,52,59,0.0,58,12,2007,7,29,20,0.15857142857142859
1,2007-07-21,74,58,66.0,52,58,0.0,61,16,2007,7,29,21,0.3157142857142857
2,2007-07-21,75,58,66.5,52,59,0.0,60,17,2007,7,29,21,0.15857142857142859
1,2007-07-22,81,58,69.5,55,61,0.0,63,23,2007,7,29,22,0.3157142857142857
2,2007-07-22,81,61,71.0,54,61,0.0,59,20,2007,7,29,22,0.15857142857142859
1,2007-07-23,83,60,71.5,55,63,0.0,60,23,2007,7,30,23,0.25999999999999995
2,2007-07-23,82,63,72.5,55,63,0.0,59,19,2007,7,30,23,0.14857142857142858
1,2007-07-24,82,65,73.5,58,64,0.0,65,17,2007,7,30,24,0.24428571428571424
2,2007-07-24,82,65,73.5,57,64,0.0,62,17,2007,7,30,24,0.13285714285714287
1,2007-07-25,85,71,78.0,61,67,0.0,65,14,2007,7,30,25,0.022857142857142815
2,2007-07-25,83,70,76.5,60,66,0.0,65,13,2007,7,30,25,0.0014285714285714299
1,2007-07-26,83,66,74.5,65,68,0.19,79,17,2007,7,30,26,0.0271428571428571
2,2007-07-26,84,64,74.0,65,68,0.89,80,20,2007,7,30,26,0.12714285714285714
1,2007-07-27,83,70,76.5,68,70,0.17,82,13,2007,7,30,27,0.051428571428571386
2,2007-07-27,83,70,76.5,67,70,0.04,80,13,2007,7,30,27,0.13285714285714287
1,2007-07-28,80,66,73.0,65,68,0.0,82,14,2007,7,30,28,0.051428571428571386
2,2007-07-28,80,70,75.0,65,68,0.0,78,10,2007,7,30,28,0.13285714285714287
1,2007-07-29,85,63,74.0,57,64,0.0,62,22,2007,7,30,29,0.051428571428571386
2,2007-07-29,85,67,76.0,56,64,0.0,57,18,2007,7,30,29,0.13285714285714287
1,2007-07-30,89,62,75.5,55,64,0.0,55,27,2007,7,31,30,0.051428571428571386
2,2007-07-30,86,65,75.5,57,65,0.0,60,21,2007,7,31,30,0.13285714285714287
1,2007-07-31,91,68,79.5,61,68,0.0,64,23,2007,7,31,31,0.051428571428571386
2,2007-07-31,89,69,79.0,60,68,0.0,62,20,2007,7,31,31,0.13285714285714287
1,2007-08-01,92,69,80.5,62,69,0.0,64,23,2007,8,31,1,0.051428571428571386
2,2007-08-01,91,69,80.0,63,70,0.0,67,22,2007,8,31,1,0.13285714285714287
1,2007-08-02,91,70,80.5,66,71,0.0,72,21,2007,8,31,2,0.024285714285714244
2,2007-08-02,91,73,82.0,66,72,0.0,70,18,2007,8,31,2,0.0057142857142857195
1,2007-08-03,90,69,79.5,56,66,0.0,53,21,2007,8,31,3,0.0
2,2007-08-03,88,73,80.5,58,67,0.0,56,15,2007,8,31,3,4.956352788505163e-18
1,2007-08-04,81,64,72.5,58,64,0.03,66,17,2007,8,31,4,0.004285714285714242
2,2007-08-04,81,68,74.5,58,65,0.02,63,13,2007,8,31,4,0.0028571428571428623
1,2007-08-05,88,67,77.5,71,73,1.43,87,21,2007,8,31,5,0.2085714285714285
2,2007-08-05,88,68,78.0,71,72,0.97,86,20,2007,8,31,5,0.14142857142857143
1,2007-08-06,88,74,81.0,72,74,0.26,83,14,2007,8,32,6,0.24571428571428564
2,2007-08-06,85,75,80.0,72,74,0.05,85,10,2007,8,32,6,0.14857142857142858
1,2007-08-07,91,72,81.5,73,76,1.31,84,19,2007,8,32,7,0.4328571428571428
2,2007-08-07,92,73,82.5,73,76,0.06,83,19,2007,8,32,7,0.15714285714285717
1,2007-08-08,87,73,80.0,71,73,0.06,83,14,2007,8,32,8,0.44142857142857134
2,2007-08-08,87,74,80.5,72,74,0.09,84,13,2007,8,32,8,0.17
1,2007-08-09,84,72,78.0,71,73,0.05,86,12,2007,8,32,9,0.44857142857142845
2,2007-08-09,85,73,79.0,71,73,0.46,84,12,2007,8,32,9,0.23571428571428574
1,2007-08-10,86,70,78.0,68,72,0.0,80,16,2007,8,32,10,0.44857142857142845
2,2007-08-10,86,73,79.5,69,72,0.0,80,13,2007,8,32,10,0.23571428571428574
1,2007-08-11,89,67,78.0,65,70,0.0,74,22,2007,8,32,11,0.44428571428571423
2,2007-08-11,88,68,78.0,65,70,0.0,74,20,2007,8,32,11,0.23285714285714287
1,2007-08-12,88,67,77.5,67,71,0.29,79,21,2007,8,32,12,0.28142857142857136
2,2007-08-12,87,68,77.5,67,70,0.23,79,19,2007,8,32,12,0.12714285714285717
1,2007-08-13,81,65,73.0,57,64,0.0,63,16,2007,8,33,13,0.24428571428571422
2,2007-08-13,80,69,74.5,54,63,0.0,54,11,2007,8,33,13,0.12000000000000001
1,2007-08-14,84,65,74.5,67,70,0.41,84,19,2007,8,33,14,0.11571428571428566
2,2007-08-14,84,65,74.5,66,69,0.45,81,19,2007,8,33,14,0.1757142857142857
1,2007-08-15,80,71,75.5,67,70,0.23,82,9,2007,8,33,15,0.13999999999999993
2,2007-08-15,81,72,76.5,69,71,0.83,84,9,2007,8,33,15,0.2814285714285714
1,2007-08-16,77,65,71.0,64,67,0.0,83,12,2007,8,33,16,0.13285714285714278
2,2007-08-16,77,67,72.0,65,68,0.0,84,10,2007,8,33,16,0.21571428571428572
1,2007-08-17,79,60,69.5,54,61,0.0,61,19,2007,8,33,17,0.13285714285714278
2,2007-08-17,80,65,72.5,54,62,0.0,57,15,2007,8,33,17,0.21571428571428572
1,2007-08-18,68,59,63.5,54,58,0.09,71,9,2007,8,33,18,0.14571428571428566
2,2007-08-18,69,60,64.5,54,58,0.42,69,9,2007,8,33,18,0.2757142857142857
1,2007-08-19,68,62,65.0,62,64,1.33,92,6,2007,8,33,19,0.2942857142857142
2,2007-08-19,69,62,65.5,63,64,1.33,93,7,2007,8,33,19,0.43285714285714283
1,2007-08-20,78,68,73.0,68,69,0.91,89,10,2007,8,34,20,0.42428571428571427
2,2007-08-20,76,68,72.0,69,70,0.48,93,8,2007,8,34,20,0.5014285714285714
1,2007-08-21,87,69,78.0,70,72,0.0,84,18,2007,8,34,21,0.36571428571428566
2,2007-08-21,85,69,77.0,70,72,0.01,86,16,2007,8,34,21,0.4385714285714285
1,2007-08-22,90,69,79.5,71,73,0.37,84,21,2007,8,34,22,0.3857142857142857
2,2007-08-22,90,70,80.0,70,73,0.88,81,20,2007,8,34,22,0.4457142857142856
1,2007-08-23,87,69,78.0,69,71,2.35,82,18,2007,8,34,23,0.7214285714285714
2,2007-08-23,89,70,79.5,69,71,1.96,80,19,2007,8,34,23,0.7257142857142856
1,2007-08-24,80,69,74.5,67,69,0.24,84,11,2007,8,34,24,0.7557142857142857
2,2007-08-24,81,69,75.0,67,69,0.2,83,12,2007,8,34,24,0.7542857142857142
1,2007-08-25,79,64,71.5,63,66,0.34,80,15,2007,8,34,25,0.7914285714285715
2,2007-08-25,76,65,70.5,63,66,0.25,82,11,2007,8,34,25,0.7299999999999999
1,2007-08-26,79,60,69.5,55,61,0.0,63,19,2007,8,34,26,0.6014285714285714
2,2007-08-26,78,61,69.5,55,62,0.0,63,17,2007,8,34,26,0.5399999999999999
1,2007-08-27,79,60,69.5,60,64,0.0,76,19,2007,8,35,27,0.4714285714285714
2,2007-08-27,79,63,71.0,59,64,0.0,71,16,2007,8,35,27,0.47142857142857136
1,2007-08-28,91,67,79.0,66,70,0.0,74,24,2007,8,35,28,0.4714285714285714
2,2007-08-28,90,69,79.5,65,70,0.0,72,21,2007,8,35,28,0.4699999999999999
1,2007-08-29,85,68,76.5,65,69,0.0,76,17,2007,8,35,29,0.41857142857142854
2,2007-08-29,86,69,77.5,64,69,0.0,72,17,2007,8,35,29,0.34428571428571425
1,2007-08-30,75,57,66.0,54,60,0.0,66,18,2007,8,35,30,0.08285714285714281
2,2007-08-30,75,60,67.5,54,61,0.0,64,15,2007,8,35,30,0.06428571428571425
1,2007-08-31,77,57,67.0,52,59,0.0,59,20,2007,8,35,31,0.04857142857142852
2,2007-08-31,76,57,66.5,54,60,0.0,66,19,2007,8,35,31,0.03571428571428568
1,2007-09-01,81,57,69.0,55,61,0.0,64,24,2007,9,35,1,0.0
2,2007-09-01,79,60,69.5,56,62,0.0,66,19,2007,9,35,1,0.0
1,2007-09-02,85,61,73.0,57,63,0.0,63,24,2007,9,35,2,0.0
2,2007-09-02,84,62,73.0,56,63,0.0,61,22,2007,9,35,2,0.0
1,2007-09-03,88,66,77.0,61,67,0.0,67,22,2007,9,36,3,0.0
2,2007-09-03,88,64,76.0,61,67,0.0,68,24,2007,9,36,3,0.0
1,2007-09-04,89,63,76.0,60,66,0.0,66,26,2007,9,36,4,0.0
2,2007-09-04,90,67,78.5,59,67,0.0,61,23,2007,9,36,4,0.0
1,2007-09-05,90,66,78.0,63,69,0.0,70,24,2007,9,36,5,0.0
2,2007-09-05,91,72,81.5,62,69,0.0,63,19,2007,9,36,5,0.0
1,2007-09-06,82,73,77.5,67,70,0.18,79,9,2007,9,36,6,0.02571428571428566
2,2007-09-06,84,74,79.0,66,70,0.08,74,10,2007,9,36,6,0.011428571428571389
1,2007-09-07,84,70,77.0,68,70,0.19,82,14,2007,9,36,7,0.052857142857142804
2,2007-09-07,84,71,77.5,67,70,0.67,79,13,2007,9,36,7,0.10714285714285711
1,2007-09-08,78,64,71.0,57,63,0.0,66,14,2007,9,36,8,0.052857142857142804
2,2007-09-08,78,68,73.0,58,64,0.0,66,10,2007,9,36,8,0.10714285714285711
1,2007-09-09,80,63,71.5,59,63,0.0,70,17,2007,9,36,9,0.052857142857142804
2,2007-09-09,79,63,71.0,59,64,0.0,71,16,2007,9,36,9,0.10714285714285711
1,2007-09-10,74,54,64.0,58,60,0.36,82,20,2007,9,37,10,0.10428571428571422
2,2007-09-10,73,55,64.0,59,62,0.25,85,18,2007,9,37,10,0.14285714285714282
1,2007-09-11,71,50,60.5,44,52,0.0,44,21,2007,9,37,11,0.10428571428571422
2,2007-09-11,71,51,61.0,44,52,0.0,43,20,2007,9,37,11,0.14285714285714282
1,2007-09-12,67,46,56.5,42,49,0.0,42,21,2007,9,37,12,0.10428571428571422
2,2007-09-12,66,46,56.0,43,50,0.0,47,20,2007,9,37,12,0.14285714285714282
1,2007-09-13,78,50,64.0,45,54,0.0,42,28,2007,9,37,13,0.07857142857142851
2,2007-09-13,79,53,66.0,43,54,0.0,34,26,2007,9,37,13,0.1314285714285714
1,2007-09-14,66,45,55.5,39,48,0.0,31,21,2007,9,37,14,0.05142857142857137
2,2007-09-14,67,47,57.0,40,49,0.0,33,20,2007,9,37,14,0.035714285714285685
1,2007-09-15,61,39,50.0,33,43,0.0,6,22,2007,9,37,15,0.05142857142857137
2,2007-09-15,62,42,52.0,35,45,0.0,16,20,2007,9,37,15,0.035714285714285685
1,2007-09-16,71,44,57.5,40,49,0.0,33,27,2007,9,37,16,0.05142857142857137
2,2007-09-16,72,49,60.5,38,50,0.0,22,23,2007,9,37,16,0.035714285714285685
1,2007-09-17,80,52,66.0,49,57,0.0,52,28,2007,9,38,17,0.0
2,2007-09-17,80,55,67.5,48,57,0.0,47,25,2007,9,38,17,0.0
1,2007-09-18,88,63,75.5,58,65,0.0,62,25,2007,9,38,18,0.0
2,2007-09-18,89,66,77.5,57,65,0.0,57,23,2007,9,38,18,0.0
1,2007-09-19,84,65,74.5,59,65,0.0,66,19,2007,9,38,19,0.0
2,2007-09-19,84,68,76.0,59,65,0.0,64,16,2007,9,38,19,0.0
1,2007-09-20,78,60,69.0,59,63,0.0,75,18,2007,9,38,20,0.0
2,2007-09-20,76,63,69.5,59,64,0.0,74,13,2007,9,38,20,0.0
1,2007-09-21,88,64,76.0,59,66,0.0,64,24,2007,9,38,21,0.0
2,2007-09-21,90,68,79.0,59,66,0.0,60,22,2007,9,38,21,0.0
1,2007-09-22,74,51,62.5,43,53,0.0,38,23,2007,9,38,22,0.0
2,2007-09-22,72,58,65.0,45,55,0.0,41,14,2007,9,38,22,0.0
1,2007-09-23,84,50,67.0,50,58,0.0,53,34,2007,9,38,23,0.0
2,2007-09-23,83,55,69.0,50,59,0.0,51,28,2007,9,38,23,0.0
1,2007-09-24,90,68,79.0,63,68,0.0,68,22,2007,9,39,24,0.0
2,2007-09-24,91,71,81.0,62,69,0.0,64,20,2007,9,39,24,0.0
1,2007-09-25,85,63,74.0,65,69,0.27,80,22,2007,9,39,25,0.03857142857142852
2,2007-09-25,83,67,75.0,66,69,0.01,81,16,2007,9,39,25,0.001428571428571397
1,2007-09-26,69,53,61.0,50,55,0.09,64,16,2007,9,39,26,0.05142857142857138
2,2007-09-26,68,55,61.5,51,56,0.14,66,13,2007,9,39,26,0.0214285714285714
1,2007-09-27,75,49,62.0,49,55,0.0,58,26,2007,9,39,27,0.05142857142857138
